"Reference","Value","Footprint"
"C1","1.5nF","AD8232_Heart_Rate_Monitor:0603-CAP"
"C2","1nF","AD8232_Heart_Rate_Monitor:0603-CAP"
"C3","10nF","AD8232_Heart_Rate_Monitor:0603-CAP"
"C4","0.33uF","AD8232_Heart_Rate_Monitor:0805"
"C5","0.1uF","AD8232_Heart_Rate_Monitor:0603-CAP"
"C6","0.33uF","AD8232_Heart_Rate_Monitor:0805"
"C7","0.1uf","AD8232_Heart_Rate_Monitor:0603-CAP"
"D1","RED","AD8232_Heart_Rate_Monitor:LED-0603"
"FID1","FIDUCIAL1X2","AD8232_Heart_Rate_Monitor:FIDUCIAL-1X2"
"FID2","FIDUCIAL1X2","AD8232_Heart_Rate_Monitor:FIDUCIAL-1X2"
"FRAME1","FRAME-LETTER","AD8232_Heart_Rate_Monitor:CREATIVE_COMMONS"
"JP1","M03PTH","AD8232_Heart_Rate_Monitor:1X03"
"JP2","AUDIO-JACKSMD2","AD8232_Heart_Rate_Monitor:AUDIO-JACK-3.5MM-SMD"
"JP3","M06SIP","AD8232_Heart_Rate_Monitor:1X06"
"LOGO1","OSHW-LOGOS","AD8232_Heart_Rate_Monitor:OSHW-LOGO-S"
"LOGO2","SFE_LOGO_NAME_FLAME.1_INCH","AD8232_Heart_Rate_Monitor:SFE_LOGO_NAME_FLAME_.1"
"R1","10M","AD8232_Heart_Rate_Monitor:0603-RES"
"R2","10M","AD8232_Heart_Rate_Monitor:0603-RES"
"R3","180k","AD8232_Heart_Rate_Monitor:0603-RES"
"R4","180k","AD8232_Heart_Rate_Monitor:0603-RES"
"R5","360k","AD8232_Heart_Rate_Monitor:0603-RES"
"R6","1M","AD8232_Heart_Rate_Monitor:0603-RES"
"R7","1M","AD8232_Heart_Rate_Monitor:0603-RES"
"R8","100k","AD8232_Heart_Rate_Monitor:0603-RES"
"R9","1M","AD8232_Heart_Rate_Monitor:0603-RES"
"R10","10M","AD8232_Heart_Rate_Monitor:0603-RES"
"R11","10M","AD8232_Heart_Rate_Monitor:0603-RES"
"R12","1.4M","AD8232_Heart_Rate_Monitor:0603-RES"
"R13","10M","AD8232_Heart_Rate_Monitor:0603-RES"
"R14","10M","AD8232_Heart_Rate_Monitor:0603-RES"
"R15","10K","AD8232_Heart_Rate_Monitor:0603-RES"
"R16","1k","AD8232_Heart_Rate_Monitor:0603-RES"
"R17","0","AD8232_Heart_Rate_Monitor:0603"
"R18","DNP","AD8232_Heart_Rate_Monitor:0603"
"R19","0","AD8232_Heart_Rate_Monitor:0603"
"R20","DNP","AD8232_Heart_Rate_Monitor:0603"
"SJ4","LED DISABLE","AD8232_Heart_Rate_Monitor:SJ_2S-TRACE"
"STANDOFF1","STAND-OFF","AD8232_Heart_Rate_Monitor:STAND-OFF"
"STANDOFF2","STAND-OFF","AD8232_Heart_Rate_Monitor:STAND-OFF"
"STANDOFF3","STAND-OFF","AD8232_Heart_Rate_Monitor:STAND-OFF"
"STANDOFF4","STAND-OFF","AD8232_Heart_Rate_Monitor:STAND-OFF"
"U1","AD8232","AD8232_Heart_Rate_Monitor:LFCSP_20"
