"Reference","Value","Footprint"
"C1","1.0uF","SparkFun_Lipo_Fuel_Gauge:0402-TIGHT"
"C2","10nF","SparkFun_Lipo_Fuel_Gauge:0402-TIGHT"
"FRAME1","FRAME-LETTER","SparkFun_Lipo_Fuel_Gauge:CREATIVE_COMMONS"
"I2C0","JUMPER-SMT_3_2-NC_TRACE_SILK","SparkFun_Lipo_Fuel_Gauge:SMT-JUMPER_3_2-NC_TRACE_SILK"
"JP1","input","SparkFun_Lipo_Fuel_Gauge:JST-2-SMD"
"JP2","CONN_031X03_NO_SILK","SparkFun_Lipo_Fuel_Gauge:1X03_NO_SILK"
"JP3","SFE_LOGO_FLAME.1_INCH","SparkFun_Lipo_Fuel_Gauge:SFE_LOGO_FLAME_.1"
"JP4","CONN_031X03_NO_SILK","SparkFun_Lipo_Fuel_Gauge:1X03_NO_SILK"
"JP5","CONN_021X02_NO_SILK","SparkFun_Lipo_Fuel_Gauge:1X02_NO_SILK"
"JP6","FIDUCIALUFIDUCIAL","SparkFun_Lipo_Fuel_Gauge:FIDUCIAL-MICRO"
"JP7","FIDUCIALUFIDUCIAL","SparkFun_Lipo_Fuel_Gauge:FIDUCIAL-MICRO"
"JP8","FIDUCIALUFIDUCIAL","SparkFun_Lipo_Fuel_Gauge:FIDUCIAL-MICRO"
"JP9","FIDUCIALUFIDUCIAL","SparkFun_Lipo_Fuel_Gauge:FIDUCIAL-MICRO"
"LOGO1","SFE_LOGO_NAME_FLAMEBLANK","SparkFun_Lipo_Fuel_Gauge:BLANK"
"R1","1k","SparkFun_Lipo_Fuel_Gauge:0402-TIGHT"
"R2","100","SparkFun_Lipo_Fuel_Gauge:0402-TIGHT"
"R3","2.2k","SparkFun_Lipo_Fuel_Gauge:0402-TIGHT"
"R4","2.2k","SparkFun_Lipo_Fuel_Gauge:0402-TIGHT"
"R5","2.2k","SparkFun_Lipo_Fuel_Gauge:0402-TIGHT"
"R6","2.2k","SparkFun_Lipo_Fuel_Gauge:0402-TIGHT"
"U$1","OSHW-LOGOS","SparkFun_Lipo_Fuel_Gauge:OSHW-LOGO-S"
"U2","MAX1704X","SparkFun_Lipo_Fuel_Gauge:TDFN-8"
