"Reference","Value","Footprint"
"C2","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm"
"C3","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"C4","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"C5","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"C6","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"
"J3","MAX30102_top","SupaClock_Custom:MAX30102_Castellated_1x4"
"J4","MAX30205_8pad","SupaClock_Custom:MAX30205_8pad_Flush"
"J5","BMI160_7p","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical"
"J6a1","MAX17048_L","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"
"J6b1","MAX17048_R","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"
"J6c1","MAX17048_BAT","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical"
"J7","ST7789_1.69in","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical"
"J11","AD8232_SparkFun","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical"
"J12_LA1","ECG_LA_pad_M3","SupaClock_Custom:M3_Electrode_Pad"
"J12_RA1","ECG_RA_pad_M3","SupaClock_Custom:M3_Electrode_Pad"
"J12_RL1","ECG_RL_pad_M3","SupaClock_Custom:M3_Electrode_Pad"
"J13","AD8232_Pads_RA_LA_RL","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"
"J14","MAX30102_bot","SupaClock_Custom:MAX30102_Castellated_1x4"
"R1","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R2","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R5","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"SW1","SELECT","SupaClock_Custom:SW_Tactile_Side_3.5x7.8mm"
"SW2","NEXT","SupaClock_Custom:SW_Tactile_Side_3.5x7.8mm"
"U1","XIAO-ESP32-S3","SupaClock_Custom:XIAO-ESP32-S3-SMD"
