timestamp_ms,red,ir
0,118097,141616
0,118094,141625
90,118075,141626
90,118080,141637
90,118066,141638
180,118079,141673
180,118069,141683
315,118075,141702
315,118066,141706
315,118008,141603
405,118015,141640
405,118041,141706
540,118028,141716
540,117992,141679
540,117980,141679
585,117998,141719
585,117986,141716
675,117982,141723
675,117993,141747
675,118002,141778
811,117993,141797
811,118009,141824
900,118008,141836
900,118000,141849
900,117984,141835
990,117930,141718
990,117925,141771
1080,117946,141803
1080,117927,141807
1080,117922,141795
1215,117905,141798
1215,117889,141811
1305,117885,141801
1305,117877,141815
1305,117888,141826
1395,117890,141851
1395,117885,141866
1485,117886,141868
1485,117871,141891
1485,117870,141894
1575,117860,141881
1575,117840,141844
1710,117813,141821
1710,117815,141840
1710,117810,141861
1800,117818,141834
1800,117799,141866
1890,117781,141897
1890,117799,141888
1890,117796,141918
1980,117775,141945
1980,117770,141899
2115,117762,141913
2115,117770,141912
2115,117764,141921
2205,117742,141945
2205,117773,141967
2295,117722,141889
2295,117735,141902
2295,117747,141957
2385,117783,141976
2385,117743,141976
2475,117746,141974
2475,117753,142023
2475,117735,142011
2610,117749,142036
2610,117743,142033
2700,117741,142042
2700,117728,142055
2700,117724,142048
2790,117715,142040
2790,117736,142078
2880,117729,142089
2880,117675,141991
2880,117654,141945
3015,117678,142017
3015,117671,142046
3105,117688,142072
3105,117677,142082
3105,117679,142089
3195,117680,142100
3195,117670,142104
3286,117670,142127
3286,117665,142125
3286,117656,142131
3375,117650,142126
3375,117641,142137
3510,117641,142135
3510,117637,142155
3510,117624,142145
3600,117592,142075
3600,117608,142130
3690,117618,142160
3690,117617,142174
3690,117617,142182
3780,117617,142196
3780,117609,142196
3915,117617,142203
3915,117604,142198
3915,117592,142211
4005,117592,142219
4005,117598,142223
4095,117593,142233
4095,117595,142237
4095,117579,142234
4185,117566,142191
4185,117420,141855
4276,117416,141847
4276,117437,141921
4276,117457,141977
4410,117467,141991
4410,117449,141981
4500,117479,142047
4500,117488,142066
4500,117487,142085
4590,117489,142102
4590,117485,142118
4680,117486,142127
4680,117489,142152
4680,117493,142167
4815,117510,142192
4815,117348,141779
4905,116996,140886
4905,117168,141319
4905,117334,141736
4995,117392,141895
4995,117413,141959
5085,117423,141988
5085,117421,142026
5085,117419,142051
5175,117435,142085
5175,117439,142107
5310,117445,142139
5310,117440,142154
5400,117443,142163
5400,117444,142169
5400,117423,142161
5490,117133,141405
5490,117007,141125
5580,117214,141650
5580,117295,141863
5580,117311,141929
5715,117324,141972
5715,117322,142014
5805,117322,141994
5805,117330,142044
5805,117330,142088
5895,117334,142110
5895,117353,142149
5985,117348,142187
5985,117348,142172
5985,117365,142194
6075,117351,142192
6075,117132,141658
6210,117011,141446
6210,117196,141829
6210,117243,141964
6345,117242,142026
6345,117274,142082
6390,117311,142113
6390,117274,142122
6390,117275,142117
6480,117292,142127
6480,117271,142152
6615,117268,142166
6615,117266,142185
6615,117279,142205
6705,117269,142212
6705,117264,142192
6795,117024,141560
6795,116929,141360
6795,117106,141795
6885,117146,141921
6885,117173,141993
6975,117201,142063
6975,117203,142105
6975,117219,142135
7110,117215,142147
7110,117219,142152
7200,117225,142201
7200,117226,142217
7200,117233,142232
7290,117234,142250
7290,117238,142276
7380,117241,142291
7380,117048,141762
7380,116778,141111
7515,116961,141579
7515,117090,141905
7605,117124,142013
7605,117151,142080
7605,117167,142140
7695,117173,142168
7695,117176,142186
7785,117188,142228
7785,117187,142240
7785,117193,142261
7875,117187,142284
7875,117186,142279
8010,117184,142286
8010,117194,142319
8010,117188,142319
8100,117147,142237
8100,116800,141346
8190,116840,141426
8190,117003,141871
8190,117063,142013
8280,117079,142091
8280,117083,142132
8415,117108,142172
8415,117110,142193
8415,117104,142222
8505,117111,142252
8505,117124,142271
8595,117118,142300
8595,117128,142311
8595,117124,142333
8685,117133,142352
8685,117129,142355
8775,117129,142373
8775,117125,142389
8775,117028,142096
8910,116855,141672
8910,116991,142014
9000,117035,142151
9000,117051,142216
9000,117070,142256
9090,117069,142271
9090,117065,142300
9180,117084,142316
9180,117088,142339
9180,117094,142369
9360,117085,142380
9360,117081,142391
9405,117080,142391
9405,117088,142397
9405,117079,142414
9495,117080,142406
9495,117096,142445
9585,117063,142373
9585,116806,141710
9585,116809,141696
9675,116944,142044
9675,116994,142183
9810,116999,142192
9810,117023,142282
9810,117026,142292
9900,117018,142336
9900,117036,142361
9990,117038,142408
9990,117052,142405
9990,117049,142417
10080,117053,142421
10080,117056,142438
10215,117023,142461
10215,117051,142467
10215,117065,142477
10305,117035,142492
10305,116892,142050
10395,116695,141476
10395,116837,141915
10395,116924,142133
10485,116958,142209
10485,116958,142263
10575,116968,142298
10575,116972,142325
10575,116982,142346
10710,116993,142369
10710,116999,142396
10845,117001,142420
10845,116992,142418
10845,116989,142444
10890,116997,142447
10890,116991,142464
10980,116990,142465
10980,116995,142477
10980,117004,142482
11115,116880,142186
11115,116642,141561
11205,116792,141947
11205,116874,142176
11205,116911,142264
11295,116924,142314
11295,116937,142352
11385,116937,142384
11385,116938,142396
11385,116949,142421
11478,116945,142433
11478,116952,142445
11610,116950,142455
11610,116956,142481
11610,116957,142501
11700,116961,142506
11700,116981,142541
11790,116984,142535
11790,116972,142551
11790,116921,142414
11880,116586,141512
11880,116642,141674
12015,116817,142102
12015,116858,142248
12015,116888,142317
12105,116905,142365
12105,116900,142376
12195,116912,142417
12195,116927,142449
12195,116933,142477
12285,116946,142502
12285,116946,142513
12375,116944,142533
12375,116955,142543
12375,116964,142582
12510,116965,142576
12510,116969,142603
12600,116970,142604
12600,116932,142522
12600,116523,141405
12690,116457,141256
12690,116662,141783
12780,116784,142116
12780,116843,142265
12780,116869,142357
12915,116883,142389
12915,116890,142399
13005,116888,142423
13005,116904,142457
13005,116906,142501
13095,116912,142515
13095,116921,142529
13185,116926,142556
13185,116933,142580
13185,116931,142584
13275,116931,142604
13275,116943,142622
13410,116930,142588
13410,116596,141709
13500,116389,141139
13500,116588,141682
13500,116746,142079
13590,116815,142270
13590,116843,142371
13680,116858,142381
13680,116861,142434
13680,116868,142461
13815,116869,142456
13815,116884,142533
13905,116873,142579
13905,116884,142580
13905,116895,142593
13998,116897,142616
13998,116903,142621
14085,116883,142641
14085,116907,142659
14085,116901,142670
14175,116815,142501
14175,116496,141547
14310,116602,141748
14310,116742,142215
14310,116798,142369
14400,116845,142434
14400,116824,142483
14490,116842,142512
14490,116842,142539
14490,116836,142555
14580,116850,142590
14580,116864,142619
14715,116867,142640
14715,116893,142667
14715,116883,142667
14805,116892,142692
14805,116889,142714
14895,116900,142727
14895,116904,142727
14895,116891,142705
14985,116672,142122
14985,116443,141520
15075,116637,142050
15075,116747,142328
15075,116780,142442
15210,116813,142505
15210,116824,142542
15300,116830,142573
15300,116843,142590
15300,116845,142611
15390,116850,142645
15390,116857,142669
15480,116860,142679
15480,116864,142689
15480,116870,142709
15615,116874,142725
15615,116876,142730
15705,116871,142746
15705,116879,142752
15705,116796,142522
15795,116425,141565
15795,116525,141822
15885,116697,142257
15885,116762,142424
15885,116788,142504
15975,116808,142565
15975,116825,142588
16110,116824,142623
16110,116832,142640
16110,116833,142662
16200,116844,142672
16200,116842,142691
16290,116842,142722
16290,116848,142734
16290,116839,142756
16380,116855,142749
16380,116846,142750
16515,116840,142743
16515,116835,142762
16515,116768,142586
16605,116539,141968
16605,116622,142192
16695,116714,142429
16695,116743,142514
16695,116762,142558
16785,116786,142605
16785,116777,142630
16875,116796,142646
16875,116795,142678
16875,116792,142688
17010,116805,142715
17010,116805,142729
17100,116811,142737
17100,116830,142760
17100,116819,142773
17190,116818,142780
17190,116824,142793
17280,116837,142806
17280,116838,142808
17280,116744,142513
17415,116683,142334
17415,116785,142635
17505,116823,142727
17505,116838,142777
17505,116839,142788
17595,116845,142792
17595,116844,142829
17685,116839,142776
17685,116833,142815
17685,116845,142835
17775,116828,142872
17775,116857,142865
17910,116844,142888
17910,116867,142907
17910,116886,142933
18000,116886,142932
18000,116874,142922
18090,116826,142874
18090,116797,142714
18090,116813,142742
18180,116841,142830
18180,116877,142886
18315,116925,142928
18315,116906,142960
18315,116909,142967
18405,116929,142987
