timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc
1776381181010,297,-4467,-15323,-187,236,-180,26.33,172,301,3848,58
1776381181010,320,-4578,-15323,-197,159,-136,26.33,172,301,3848,58
1776381181057,377,-4596,-15582,-180,134,-86,26.33,172,301,3848,58
1776381181057,411,-4590,-15570,-102,149,-39,26.33,172,301,3848,58
1776381181057,483,-4614,-15725,3,145,9,26.32,172,302,3843,58
1776381181108,261,-4649,-15625,81,101,33,26.32,172,302,3843,58
1776381181108,-113,-4644,-15621,119,123,41,26.32,172,302,3843,58
1776381181150,-127,-4785,-15835,159,174,32,26.32,172,302,3843,58
1776381181150,-27,-4718,-15843,228,183,32,26.32,172,302,3843,58
1776381181193,276,-4903,-15929,281,172,65,26.32,172,302,3843,58
1776381181194,322,-4914,-16058,314,142,119,26.32,172,302,3843,58
1776381181235,154,-4762,-16030,353,115,156,26.32,172,302,3843,58
1776381181235,79,-4585,-15817,379,86,170,26.32,172,302,3843,58
1776381181235,438,-4764,-16030,360,19,198,26.32,172,302,3843,58
1776381181279,207,-4764,-16230,358,-27,239,26.32,172,302,3843,58
1776381181279,130,-4742,-16214,413,-3,265,26.32,172,302,3843,58
1776381181319,224,-4708,-15999,462,20,273,26.32,172,302,3843,58
1776381181319,277,-4428,-15688,448,-13,276,26.32,172,302,3843,58
1776381181359,446,-4162,-15515,415,-64,276,26.32,172,302,3843,58
1776381181360,959,-4121,-15475,407,-126,279,26.32,172,302,3843,58
1776381181401,1364,-4052,-15724,453,-160,281,26.32,172,302,3843,58
1776381181401,1645,-4041,-15782,517,-164,243,26.32,172,302,3843,58
1776381181401,2070,-3804,-15852,553,-145,144,26.32,172,302,3843,58
1776381181442,2109,-3598,-15934,546,-143,-5,26.32,172,302,3843,58
1776381181442,2093,-3305,-15582,495,-100,-167,26.32,172,302,3843,58
1776381181485,2374,-2926,-15257,422,-10,-278,26.32,172,302,3843,58
1776381181485,2698,-2493,-15188,381,79,-330,26.32,172,302,3843,58
1776381181529,3197,-2072,-15211,380,110,-349,26.32,172,302,3843,58
1776381181529,3775,-1825,-15597,378,79,-356,26.32,172,302,3843,58
1776381181580,3590,-1639,-16172,370,10,-373,26.32,172,302,3843,58
1776381181580,3576,-1702,-16505,355,-64,-430,26.32,172,302,3843,58
1776381181580,3756,-1790,-16772,287,-126,-485,26.32,172,302,3843,58
1776381181658,3960,-1815,-17160,154,-213,-533,26.32,172,302,3843,58
1776381181658,3985,-1914,-17756,47,-297,-558,26.32,172,302,3843,58
1776381181658,4099,-2032,-18171,-1,-321,-573,26.32,172,302,3843,58
1776381181658,4028,-1977,-18351,-42,-232,-610,26.32,172,302,3843,58
1776381181713,3770,-1977,-18062,-128,-55,-683,26.32,172,302,3843,58
1776381181713,3281,-1658,-17305,-318,218,-814,26.32,172,302,3843,58
1776381181758,3303,-1525,-16874,-453,234,-870,26.32,172,302,3843,58
1776381181758,3351,-1395,-16730,-552,143,-888,26.32,172,302,3843,58
1776381181759,3297,-1495,-16779,-628,14,-884,26.32,172,302,3843,58
1776381181799,3232,-1597,-16960,-680,-62,-899,26.32,172,302,3843,58
1776381181799,3150,-1748,-17464,-690,-69,-946,26.32,172,302,3843,58
1776381181839,3015,-1675,-17593,-685,-110,-1011,26.32,172,302,3843,58
1776381181839,2948,-1692,-17668,-733,-146,-1069,26.32,172,302,3843,58
1776381181880,3066,-1774,-17780,-816,-165,-1092,26.32,172,302,3843,58
1776381181880,2809,-1974,-18296,-877,-211,-1094,26.32,172,302,3843,58
1776381181960,2408,-2229,-18366,-903,-259,-1101,26.32,172,302,3843,58
1776381181960,2222,-2391,-18193,-946,-232,-1107,26.32,172,302,3843,58
1776381181960,2016,-2337,-18048,-1003,-251,-1095,26.32,172,302,3843,58
1776381182005,1976,-2545,-17606,-1048,-277,-1045,26.32,172,302,3843,58
1776381182005,2007,-2933,-17321,-1066,-306,-916,26.32,172,302,3843,58
1776381182048,1942,-3517,-17190,-984,-294,-747,26.32,172,302,3843,58
1776381182048,2077,-4399,-17349,-841,-294,-598,26.32,172,302,3843,58
1776381182101,2144,-5331,-17334,-705,-336,-495,26.31,172,303,3842,58
1776381182101,2103,-6320,-17044,-590,-318,-412,26.31,172,303,3842,58
1776381182143,1985,-6780,-16652,-457,-213,-319,26.31,172,303,3842,58
1776381182143,1731,-7260,-16072,-309,-9,-178,26.31,172,303,3842,58
