timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc,hr_bpm,spo2_pct
1777326986839,16190,489,-3065,-104,89,-413,24.58,11,42,3891,0,0,0
1777326986839,16130,194,-2875,-40,91,-418,24.58,11,42,3891,0,0,0
1777326986839,16279,-20,-2728,0,111,-391,24.58,11,42,3891,0,0,0
1777326986905,16598,-116,-2838,10,140,-352,24.58,11,42,3891,0,0,0
1777326986905,16780,-153,-3146,-9,154,-302,24.58,11,42,3891,0,0,0
1777326986955,16598,-222,-3302,-41,148,-248,24.58,11,42,3891,0,0,0
1777326986955,16523,-149,-3405,-63,133,-185,24.58,11,42,3891,0,0,0
1777326986988,16467,11,-3443,-50,119,-141,24.58,11,42,3891,0,0,0
1777326986988,16504,127,-3415,17,99,-116,24.58,11,42,3891,0,0,0
1777326987022,16503,299,-3104,136,89,-85,24.58,11,42,3891,0,0,0
1777326987022,16477,412,-2752,269,108,-63,24.58,11,42,3891,0,0,0
1777326987022,16482,438,-2744,356,162,-63,24.58,11,42,3891,0,0,0
1777326987088,16399,217,-2972,389,169,-57,24.58,11,42,3891,0,0,0
1777326987088,16398,37,-2862,379,120,-31,24.58,11,42,3891,0,0,0
1777326987121,16200,-205,-2521,372,68,11,24.58,11,42,3891,0,0,0
1777326987121,16028,-260,-1795,389,35,80,24.58,11,42,3891,0,0,0
1777326987155,15879,-243,-1304,425,66,150,24.58,11,42,3891,0,0,0
1777326987155,16025,-25,-1216,462,114,216,24.58,11,42,3891,0,0,0
1777326987221,16146,159,-1229,490,130,278,24.58,11,42,3891,0,0,0
1777326987221,16331,501,-1274,459,139,325,24.58,11,42,3891,0,0,0
1777326987221,16467,746,-1536,371,137,333,24.58,11,42,3891,0,0,0
1777326987255,16553,863,-1453,290,111,317,24.58,11,42,3891,0,0,0
1777326987255,16688,860,-1043,294,99,320,24.58,11,42,3891,0,0,0
1777326987288,16971,998,-854,416,159,370,24.58,11,42,3891,0,0,0
1777326987288,16983,1115,-1194,442,167,389,24.58,11,42,3891,0,0,0
1777326987338,16690,1067,-1453,393,131,405,24.58,11,42,3891,0,0,0
1777326987338,16258,1106,-1366,294,69,432,24.58,11,42,3891,0,0,0
1777326987404,15479,1216,-1168,194,17,464,24.58,11,42,3891,0,0,0
1777326987404,14881,1537,-994,101,-19,476,24.58,11,42,3891,0,0,0
1777326987405,14312,1808,-773,33,-43,442,24.58,11,42,3891,0,0,0
1777326987438,14124,2156,-660,-6,-53,389,24.58,11,42,3891,0,0,0
1777326987438,13864,2337,-640,-29,-60,302,24.58,11,42,3891,0,0,0
1777326987472,13965,2366,-835,-90,-45,193,24.58,11,42,3891,0,0,0
1777326987472,13951,2222,-1032,-177,-59,90,24.58,11,42,3891,0,0,0
1777326987538,13670,2203,-967,-261,-108,18,24.58,11,42,3891,0,0,0
1777326987538,13994,2342,-799,-344,-135,-53,24.58,11,42,3891,0,0,0
1777326987571,13882,2414,-799,-439,-154,-146,24.58,11,42,3891,0,0,0
1777326987571,14123,2407,-904,-537,-155,-249,24.58,11,42,3891,0,0,0
1777326987571,14510,2307,-940,-599,-156,-355,24.58,11,42,3891,0,0,0
1777326987621,14721,2073,-895,-614,-155,-449,24.58,11,42,3891,0,0,0
1777326987621,15373,1839,-1016,-621,-131,-529,24.58,11,42,3891,0,0,0
1777326987671,16114,1682,-1223,-661,-130,-600,24.58,11,42,3891,0,0,0
1777326987671,16913,1356,-1447,-747,-175,-674,24.58,11,42,3891,0,0,0
1777326987721,17109,722,-1440,-866,-223,-730,24.58,11,42,3891,0,0,0
1777326987721,17289,547,-1716,-956,-263,-721,24.58,11,42,3891,0,0,0
1777326987771,17877,909,-1496,-919,-223,-694,24.58,11,42,3876,0,0,0
1777326987771,20253,1725,-2046,-809,-108,-697,24.58,11,42,3876,0,0,0
1777326987771,21806,2222,-3016,-733,-48,-725,24.58,11,42,3876,0,0,0
1777326987789,21581,1898,-3475,-744,-39,-836,24.58,11,42,3876,0,0,0
