timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc,hr_bpm,spo2_pct
1777327270216,14825,1818,-5672,206,75,-122,25.29,0,0,3791,4,0,0
1777327270216,15032,1745,-5595,220,101,-133,25.29,0,0,3791,4,0,0
1777327270249,15283,1765,-5560,236,120,-117,25.29,0,0,3791,4,0,0
1777327270250,15557,1733,-5516,208,128,-92,25.29,0,0,3791,4,0,0
1777327270250,15832,1757,-5367,133,134,-39,25.29,0,0,3791,4,0,0
1777327270332,16069,1971,-5434,28,137,25,25.29,0,0,3791,4,0,0
1777327270332,16492,2308,-5436,-81,139,78,25.29,0,0,3791,4,0,0
1777327270381,16919,2775,-5324,-144,135,113,25.29,0,0,3791,4,0,0
1777327270381,17163,3009,-5027,-158,151,104,25.29,0,0,3791,4,0,0
1777327270431,17480,2922,-4833,-145,204,57,25.29,0,0,3791,4,0,0
1777327270431,17670,2386,-4820,-99,249,20,25.29,0,0,3791,4,0,0
1777327270431,18272,2044,-4684,-29,285,36,25.29,0,0,3791,4,0,0
1777327270431,19876,2603,-5141,1,368,138,25.29,0,0,3791,4,0,0
1777327270431,20690,3431,-5660,-52,372,224,25.29,0,0,3791,4,0,0
1777327270482,19544,3307,-5703,-193,303,206,25.29,0,0,3791,4,0,0
1777327270482,17963,2717,-5643,-310,226,188,25.28,0,0,3791,4,0,0
1777327270532,16929,2361,-5260,-346,157,204,25.28,0,0,3791,4,0,0
1777327270532,15944,2215,-4691,-324,125,202,25.28,0,0,3791,4,0,0
1777327270565,14454,1469,-4382,-233,144,145,25.28,0,0,3791,4,0,0
1777327270565,13396,542,-4519,-80,159,109,25.28,0,0,3791,4,0,0
1777327270631,12885,112,-4609,105,152,167,25.28,0,0,3791,4,0,0
1777327270631,13058,339,-4651,268,115,273,25.28,0,0,3791,4,0,0
1777327270631,13525,1281,-4278,374,35,390,25.28,0,0,3791,4,0,0
1777327270665,14040,1957,-4110,363,9,422,25.28,0,0,3791,4,0,0
1777327270665,14204,2330,-4234,329,-20,433,25.28,0,0,3791,4,0,0
1777327270731,14102,2589,-4340,299,-69,459,25.28,0,0,3791,4,0,0
1777327270731,13675,2926,-4119,282,-153,472,25.28,0,0,3791,4,0,0
1777327270765,12799,3180,-3566,261,-244,440,25.28,0,0,3791,4,0,0
1777327270765,12321,3464,-2895,239,-306,357,25.28,0,0,3791,4,0,0
1777327270798,12289,3514,-2302,255,-311,233,25.28,0,0,3791,4,0,0
1777327270798,12592,3233,-1961,321,-282,101,25.28,0,0,3791,4,0,0
1777327270798,12807,2854,-1411,381,-211,8,25.28,0,0,3791,4,0,0
1777327270864,13141,2447,-1459,410,-105,-41,25.28,0,0,3791,4,0,0
1777327270864,13605,2377,-1783,408,-22,-43,25.28,0,0,3791,4,0,0
1777327270898,13594,2462,-2220,353,0,-37,25.28,0,0,3791,4,0,0
1777327270898,13597,2563,-2429,248,-32,-32,25.28,0,0,3791,4,0,0
1777327270999,13148,2505,-2590,98,-96,-40,25.28,0,0,3791,4,0,0
1777327270999,12849,2541,-2612,-42,-155,-59,25.28,0,0,3791,4,0,0
1777327270999,13922,3090,-2543,-157,-199,-92,25.28,0,0,3791,4,0,0
1777327270999,15059,3588,-2497,-219,-230,-193,25.28,0,0,3791,4,0,0
1777327271032,15505,3375,-2316,-240,-209,-323,25.28,0,0,3791,4,0,0
1777327271032,15955,2735,-2339,-197,-129,-408,25.28,0,0,3791,4,0,0
1777327271032,16370,2337,-2584,-148,-20,-401,25.28,0,0,3791,4,0,0
1777327271066,17123,2314,-3430,-146,150,-377,25.28,0,0,3791,4,0,0
1777327271066,20330,2507,-5380,-188,392,-451,25.28,0,0,3791,4,0,0
1777327271132,24112,2534,-8607,-151,520,-515,25.28,0,0,3791,4,0,0
1777327271132,24955,1716,-9854,7,258,-492,25.28,0,0,3791,4,0,0
1777327271183,22453,-50,-8788,75,-45,-473,25.28,0,0,3791,4,0,0
1777327271215,19689,-1826,-7452,51,-202,-424,25.28,0,0,3791,4,0,0
1777327271215,17583,-2876,-6175,146,-218,-285,25.28,0,0,3791,4,0,0
1777327271216,16488,-2566,-5204,496,-106,-80,25.28,0,0,3791,4,0,0
1777327271216,15998,-1554,-4742,887,83,80,25.28,0,0,3791,4,0,0
1777327271265,15304,-868,-4708,1125,246,63,25.28,0,0,3791,4,0,0
1777327271265,14961,-1018,-4998,1216,376,-66,25.28,0,0,3791,4,0,0
1777327271315,14668,-2061,-5532,1282,419,-130,25.28,0,0,3791,4,0,0
1777327271315,14280,-2490,-5548,1315,356,-23,25.28,0,0,3791,4,0,0
1777327271333,13686,-2646,-5517,1308,299,173,25.28,0,0,3791,4,0,0
1777327271333,13610,-2085,-5334,1182,234,378,25.28,0,0,3791,4,0,0
1777327271333,13647,-1064,-4730,1041,142,546,25.28,0,0,3791,4,0,0
1777327271383,13581,-212,-4486,873,124,611,25.28,0,0,3791,4,0,0
1777327271383,13540,248,-4783,729,126,623,25.28,0,0,3791,4,0,0
1777327271449,14049,725,-4686,614,112,653,25.28,0,0,3791,4,0,0
1777327271449,14346,1463,-4768,557,123,701,25.28,0,0,3791,4,0,0
1777327271482,14897,2034,-4887,505,129,695,25.28,0,0,3791,4,0,0
1777327271482,15239,2664,-4807,529,128,649,25.28,0,0,3791,4,0,0
1777327271515,15202,2620,-4411,595,153,575,25.28,0,0,3791,4,0,0
1777327271515,14608,2238,-4469,609,213,523,25.28,0,0,3791,4,0,0
1777327271515,14523,2200,-4598,556,217,510,25.26,0,0,3750,4,0,0
1777327271582,14960,2793,-4396,473,197,536,25.26,0,0,3750,4,0,0
1777327271582,16232,4163,-4010,385,194,543,25.26,0,0,3750,4,0,0
1777327271615,17386,5237,-3485,275,239,441,25.26,0,0,3750,4,0,0
1777327271615,18705,5989,-3405,180,322,297,25.26,0,0,3750,4,0,0
1777327271648,18622,6030,-3388,119,354,125,25.26,0,0,3750,4,0,0
1777327271648,18717,6119,-3131,48,387,-31,25.26,0,0,3750,4,0,0
1777327271715,20045,7015,-3164,-63,467,-136,25.26,0,0,3750,4,0,0
1777327271715,19771,7078,-3189,-228,503,-279,25.26,0,0,3750,4,0,0
1777327271715,17776,6007,-3491,-510,509,-474,25.26,0,0,3750,4,0,0
1777327271748,16177,4711,-4029,-861,446,-624,25.26,0,0,3750,4,0,0
1777327271748,15728,3792,-4746,-1220,181,-747,25.26,0,0,3750,4,0,0
1777327271799,15347,3100,-4202,-1193,-63,-898,25.26,0,0,3750,4,0,0
